cluster	pdb	uniclust	scop	pfam	full
23506	0	0	0	0	0
29384	1	1	1	1	1
47211	0	1	0	0	1
23502	1	1	1	0	1
23500	0	0	0	0	0
29435	1	0	1	1	1
27619	1	1	0	0	1
27617	0	0	0	0	0
27611	1	1	1	1	1
39595	1	1	1	0	1
39591	0	0	0	0	0
39590	1	1	1	1	1
39599	1	1	0	1	1
39598	0	0	0	0	0
29109	1	1	1	1	1
31235	0	0	0	0	0
29101	1	1	1	1	1
29100	0	0	0	0	0
516	0	1	0	0	1
7187	0	1	1	1	1
1227	1	1	1	0	1
1226	0	1	0	0	1
16881	1	0	1	0	1
620	1	1	1	1	1
34559	1	1	1	1	1
8019	1	1	1	1	1
8018	1	1	1	1	1
34554	0	0	0	0	0
8016	1	1	0	1	1
12839	0	1	1	0	1
34557	1	1	1	1	1
8541	0	0	0	0	0
15280	1	1	1	1	1
15283	0	1	0	1	1
28389	0	1	1	0	1
26627	1	1	1	1	1
7455	0	0	0	0	0
7453	0	1	0	0	1
7451	1	1	1	1	1
36803	0	1	1	0	1
4590	0	1	0	0	1
28384	0	1	0	0	1
50413	0	0	0	0	0
35930	0	1	1	0	1
23127	1	1	1	0	1
35937	1	1	1	1	1
50414	0	1	0	0	1
31913	0	1	1	0	1
47678	0	0	0	0	0
6797	1	1	1	1	1
28380	1	1	0	1	1
10887	1	1	1	1	1
23651	0	0	0	0	0
46569	0	0	0	0	0
13468	0	1	0	0	1
31916	1	1	1	0	1
2332	1	1	1	1	1
42668	1	1	1	1	1
43477	1	1	1	1	1
26569	1	1	1	1	1
15005	1	1	1	1	1
26560	1	0	1	1	1
24705	0	1	0	0	1
24701	0	0	0	0	0
18871	0	0	0	0	0
48918	0	1	1	0	1
27727	0	1	0	0	1
397	0	0	0	0	0
396	0	0	0	0	0
395	0	0	0	0	0
22013	1	1	1	1	1
22011	1	1	1	1	1
22016	1	1	1	1	1
22014	1	1	1	1	1
41069	1	1	1	1	1
2308	1	1	1	1	1
43461	0	0	0	0	0
4728	1	1	1	1	1
31905	0	1	0	0	1
43468	0	0	0	0	0
2302	0	0	0	0	0
13612	0	0	0	0	0
31903	1	1	1	1	1
32224	1	1	0	1	1
19705	1	1	1	1	1
32220	0	1	0	0	1
5842	0	0	0	0	0
19702	1	1	1	1	1
5840	0	0	0	0	0
11281	1	1	1	1	1
11280	0	1	0	0	1
11282	1	1	1	0	1
16069	0	1	0	0	1
5849	1	1	1	1	1
11286	1	1	1	1	1
17621	1	0	1	1	1
17622	0	0	1	0	1
17629	0	0	0	0	0
3745	1	1	1	1	1
3742	1	1	1	1	1
4620	0	0	0	0	0
4621	0	1	0	0	1
4622	0	1	1	0	1
4623	1	1	1	1	1
4627	1	1	1	1	1
41820	0	1	1	0	1
13538	1	1	1	1	1
41823	0	0	0	0	0
28254	1	1	1	1	1
43688	1	1	1	1	1
43687	0	1	1	0	1
43683	1	1	1	1	1
11759	0	0	0	0	0
43681	1	1	1	0	1
16392	0	1	0	1	1
19561	0	0	0	0	0
51104	1	1	1	1	1
51102	0	1	1	0	1
19565	1	1	1	1	1
16394	1	1	1	0	1
51101	1	1	1	1	1
19568	1	1	1	1	1
29260	1	1	1	1	1
10463	1	1	1	1	1
20731	1	1	0	1	1
20886	0	1	1	0	1
20733	0	1	0	0	1
24654	0	0	0	0	0
20734	1	1	1	0	1
20880	0	0	1	0	1
20739	1	1	1	1	1
25547	1	1	1	1	1
179	1	1	1	1	1
13288	0	1	0	0	1
176	1	1	0	1	1
13284	1	1	1	1	1
173	1	1	1	1	1
36309	0	1	0	0	1
11994	1	1	1	1	1
40637	1	1	1	1	1
21931	1	1	1	1	1
19177	0	0	0	0	0
49176	0	1	0	0	1
46306	0	1	0	0	1
49175	0	0	0	0	0
21939	0	1	1	0	1
49178	1	1	1	0	1
42333	1	1	1	1	1
48229	1	0	1	0	1
48559	0	1	0	0	1
45654	0	1	0	0	1
48557	1	1	0	1	1
48555	1	1	1	1	1
41355	1	1	1	1	1
48220	0	1	0	0	1
45303	0	1	0	0	1
45870	1	0	1	0	1
19176	1	1	1	0	1
10399	0	1	0	0	1
13366	0	1	0	1	1
16936	0	1	0	0	1
32013	1	1	1	1	1
16934	0	0	0	0	0
16932	0	1	0	0	1
16930	0	0	0	0	0
271	0	0	0	0	0
29655	0	1	1	0	1
7215	0	0	0	0	0
44656	1	1	1	1	1
42159	0	1	0	0	1
33688	1	1	1	1	1
42151	1	1	1	0	1
274	1	1	1	0	1
42157	1	0	1	0	1
42156	0	1	0	0	1
6819	1	1	1	1	1
15878	0	1	1	0	1
41172	1	1	1	1	1
15701	1	1	1	1	1
15874	0	0	0	0	0
4652	0	0	0	1	1
40881	0	0	0	0	0
29371	0	0	0	0	0
29376	1	1	1	0	1
9752	1	1	1	1	1
9750	1	1	1	1	1
10574	1	1	1	0	1
40888	1	1	1	1	1
29379	0	1	0	0	1
10571	1	1	1	1	1
34329	1	1	1	0	1
18934	1	1	1	1	1
21427	1	1	1	1	1
24144	0	0	0	0	0
24142	1	0	0	0	1
37301	1	1	1	1	1
24141	0	1	0	0	1
18873	0	0	0	0	0
18939	0	0	0	0	0
8848	1	1	1	1	1
8849	0	1	0	0	1
8843	0	0	0	0	0
8847	0	0	0	0	0
18828	1	1	1	0	1
30623	1	1	1	1	1
23516	1	1	1	1	1
11848	1	1	1	1	1
30627	0	0	0	0	0
32463	0	0	0	0	0
7669	0	0	0	0	0
40088	1	1	1	1	1
32460	1	1	1	1	1
50516	0	0	0	0	0
33756	0	0	0	0	0
40080	1	1	1	1	1
7663	1	1	1	0	1
26811	1	1	1	1	1
11331	0	0	0	0	0
18533	1	1	1	1	1
28878	0	1	0	0	1
11843	1	1	1	1	1
41685	0	0	0	0	0
37070	1	1	1	1	1
41683	1	1	1	1	1
1763	1	1	1	1	1
33750	1	1	1	1	1
29596	0	1	0	0	1
40556	1	1	1	1	1
40227	0	1	0	0	1
40554	0	1	0	0	1
40553	0	0	0	0	0
18311	1	1	1	1	1
40228	0	1	1	0	1
29598	0	0	0	0	0
40558	1	1	1	0	1
24551	1	1	1	0	1
24552	0	0	0	0	0
24555	0	1	1	0	1
50084	0	1	0	0	1
50086	1	1	1	1	1
14342	1	1	1	1	1
47682	0	0	0	0	0
1547	0	1	0	0	1
47680	1	1	1	0	1
1545	1	1	1	1	1
1542	1	1	1	1	1
697	0	1	1	1	1
694	1	1	1	1	1
28355	0	1	1	0	1
14472	1	1	1	1	1
28351	0	1	0	0	1
11116	0	0	0	0	0
30334	0	0	0	0	0
34300	0	0	0	0	0
34303	1	1	1	1	1
8713	1	1	1	1	1
34305	0	0	0	0	0
8715	1	1	1	1	1
34307	1	1	1	1	1
30227	0	0	0	0	0
34309	0	0	1	0	1
50880	0	0	0	0	0
31574	1	1	1	1	1
13843	1	1	1	1	1
31576	0	0	0	0	0
13845	1	1	1	1	1
51113	0	0	0	0	0
13847	0	1	0	0	1
7567	1	1	1	1	1
50888	1	1	1	1	1
50889	1	1	1	1	1
44806	1	1	1	1	1
34254	1	1	1	1	1
11760	0	1	0	0	1
38367	1	1	0	0	1
38365	1	1	1	0	1
38362	0	1	1	0	1
5612	1	1	1	1	1
5613	1	1	1	1	1
5611	1	1	1	1	1
5616	1	1	1	1	1
17920	1	0	1	0	1
5615	1	1	1	1	1
19108	0	1	1	0	1
20744	0	0	1	0	1
35218	0	1	0	0	1
35219	0	0	0	0	0
35212	1	1	1	1	1
11569	1	1	1	1	1
23262	1	1	1	1	1
11564	0	1	0	0	1
47028	1	1	1	1	1
11567	0	0	0	0	0
17929	1	1	0	1	1
9257	0	1	0	0	1
5522	1	1	1	1	1
22243	1	1	1	1	1
43852	1	1	0	0	1
25735	1	0	1	0	1
43857	1	1	1	1	1
25733	1	1	1	0	1
25046	0	1	0	0	1
43854	0	1	0	0	1
50031	1	1	1	1	1
9523	0	1	0	0	1
6778	1	0	1	0	1
6777	0	0	1	0	1
27392	0	0	0	0	0
35088	1	1	1	1	1
20371	0	1	1	0	1
39010	0	1	1	0	1
23756	0	1	0	0	1
32079	0	0	0	0	0
259	0	0	0	0	0
49564	0	0	0	0	0
44833	1	1	1	1	1
32073	0	1	0	0	1
32072	0	0	0	0	0
16234	1	1	0	1	1
16237	1	1	1	1	1
12038	0	1	1	1	1
12031	0	0	0	0	0
12034	0	0	0	0	0
49099	1	0	1	1	1
49549	1	1	1	0	1
21633	0	1	0	0	1
49540	0	0	0	0	0
49546	0	1	1	0	1
49096	0	1	0	0	1
45465	0	0	1	0	1
3688	1	1	0	1	1
45463	1	1	1	1	1
3683	1	1	1	0	1
3684	1	1	1	1	1
43145	0	1	0	0	1
43144	0	1	1	0	1
43142	1	1	1	1	1
26040	0	0	0	0	0
43149	0	1	1	0	1
26044	1	1	1	0	1
26046	1	1	0	0	1
46847	1	1	0	1	1
49890	1	1	1	1	1
49325	1	1	1	0	1
42813	0	0	0	0	0
49895	1	1	1	1	1
49894	0	1	0	0	1
46841	1	1	1	1	1
42819	1	0	0	0	1
46518	0	1	1	0	1
46848	1	0	0	1	1
3533	1	1	1	1	1
3532	0	1	1	0	1
5058	0	0	0	0	0
3534	1	1	1	1	1
3537	1	1	1	1	1
3539	0	0	1	0	1
3538	0	1	0	0	1
5057	1	1	1	1	1
5052	0	0	0	0	0
45796	0	1	0	0	1
46316	0	1	1	0	1
33599	1	1	1	1	1
38565	0	0	0	0	0
36822	0	1	1	0	1
10760	0	1	1	0	1
36792	0	1	0	0	1
21924	0	1	0	0	1
10764	0	0	0	0	0
46644	1	1	1	1	1
14640	0	0	0	0	0
18890	1	1	1	0	1
14646	1	1	1	1	1
14647	1	1	1	1	1
18895	0	1	1	0	1
18545	1	1	0	0	1
14648	1	1	1	0	1
14868	0	0	0	0	0
38624	1	1	1	1	1
13070	0	0	0	0	0
13072	1	1	1	1	1
30437	1	1	1	1	1
30433	0	1	1	0	1
30430	0	0	0	0	0
44222	0	0	0	0	0
36178	1	1	1	1	1
36179	1	1	1	1	1
36174	1	1	1	1	1
45441	1	1	0	1	1
37981	1	1	1	1	1
33524	0	1	0	0	1
18090	1	1	1	0	1
18097	0	0	0	0	0
33521	1	1	0	1	1
33523	0	0	0	0	0
20270	0	1	0	0	1
29992	1	1	1	1	1
48054	1	1	1	1	1
41547	1	1	1	1	1
27556	0	1	1	0	1
20279	0	1	0	0	1
26451	0	0	0	0	0
27808	1	1	1	1	1
38197	1	1	1	1	1
10182	0	1	1	0	1
10188	1	1	1	0	1
29299	0	1	0	0	1
40769	0	0	0	0	0
29749	0	1	0	0	1
40949	0	1	1	0	1
40944	0	0	0	0	0
40761	0	1	0	0	1
29741	1	1	1	1	1
40940	0	0	1	0	1
29296	1	1	1	1	1
23078	1	1	1	1	1
1158	1	1	0	0	1
28020	0	1	0	0	1
47236	1	1	1	1	1
1153	1	1	1	1	1
41340	0	1	1	0	1
15112	1	1	1	1	1
39579	1	1	1	1	1
29122	1	1	1	1	1
29120	1	1	1	1	1
25891	0	1	1	0	1
31218	1	1	0	0	1
31219	1	1	1	0	1
31211	1	1	1	0	1
31212	1	1	1	0	1
31741	1	1	1	1	1
17393	1	1	1	1	1
48997	0	0	0	0	0
12589	1	1	1	1	1
12588	0	0	0	1	1
8523	0	0	0	0	0
12850	0	1	0	0	1
8521	1	1	1	1	1
12580	0	1	0	0	1
8527	1	1	1	1	1
12586	0	0	0	0	0
1233	1	1	1	1	1
12584	0	1	1	0	1
35917	0	1	0	0	1
50472	0	0	0	0	0
35913	0	0	0	0	0
26605	1	1	1	1	1
18244	0	1	0	0	1
25168	0	0	0	0	0
49307	0	1	0	0	1
37790	0	1	0	0	1
39641	1	1	1	0	1
22653	1	1	1	1	1
22659	0	1	1	0	1
43481	1	1	1	1	1
22388	1	1	1	1	1
22389	0	1	1	0	1
26540	1	1	1	1	1
26541	0	0	0	0	0
26542	0	0	0	0	0
22382	1	0	0	0	1
22381	1	1	1	1	1
26549	0	0	0	0	0
22385	1	1	1	1	1
4299	0	1	0	0	1
4295	0	0	0	0	0
4294	1	1	1	1	1
4297	0	0	0	0	0
13980	0	1	0	0	1
4292	0	1	1	0	1
24768	0	1	0	0	1
28655	1	1	0	0	1
23386	0	1	1	0	1
23389	1	1	1	0	1
24763	0	1	1	0	1
24767	0	0	0	0	0
24764	0	1	0	0	1
32283	0	0	0	0	0
22032	0	1	0	0	1
22033	1	1	1	1	1
22036	1	1	1	0	1
23779	0	0	0	0	0
22038	0	0	0	0	0
16929	1	1	1	1	1
35664	1	1	1	1	1
10432	1	1	1	1	1
35669	1	1	1	1	1
43449	1	1	1	0	1
31968	1	1	1	1	1
43338	0	1	1	1	1
31962	1	1	1	1	1
4742	0	0	0	0	0
31960	0	0	0	0	0
31961	0	1	0	1	1
43444	1	0	1	0	1
31967	0	0	0	0	0
43446	1	1	1	1	1
4744	1	1	1	1	1
16002	0	1	0	0	1
32243	1	1	1	1	1
32241	1	1	1	0	1
19766	1	1	1	1	1
5868	1	1	1	0	1
19764	1	1	1	1	1
5865	1	1	1	0	1
19768	0	0	0	0	0
16009	1	1	1	0	1
5860	0	1	0	0	1
2239	0	0	1	0	1
1329	0	0	0	1	1
17608	1	1	1	1	1
17354	1	1	1	1	1
17603	1	1	1	1	1
17602	1	1	1	1	1
17601	1	1	1	1	1
2186	0	0	0	0	0
2185	0	0	0	0	0
4607	0	0	0	0	0
13512	1	1	1	1	1
13510	0	1	0	0	1
15340	1	1	1	1	1
23922	1	1	1	0	1
23928	0	0	0	0	0
43008	0	1	0	0	1
51128	1	1	1	1	1
27233	1	1	0	1	1
27232	1	1	0	1	1
19580	0	0	0	0	0
151	0	0	0	0	0
21883	0	1	0	0	1
12426	1	1	1	1	1
157	0	1	0	1	1
156	0	1	0	0	1
20865	1	1	1	1	1
20715	1	1	1	1	1
20711	1	1	1	1	1
36361	1	1	1	1	1
25566	1	1	1	1	1
36366	1	0	1	1	1
38405	1	1	1	1	1
5935	0	0	0	0	0
46678	1	1	1	1	1
49159	1	1	1	1	1
6185	0	1	0	0	1
6184	0	1	0	0	1
48836	0	0	0	0	0
6181	1	1	1	1	1
46672	1	1	1	1	1
49154	1	1	1	0	1
45638	1	1	1	1	1
45329	1	1	1	1	1
48203	1	1	1	1	1
45320	1	1	1	1	1
48207	1	1	1	1	1
48206	1	1	1	1	1
48205	0	1	0	0	1
48204	0	0	0	0	0
7944	1	1	1	1	1
9190	0	0	0	0	0
9193	1	1	1	1	1
7235	1	1	1	1	1
7232	1	1	1	1	1
7942	1	1	1	1	1
10376	1	1	1	1	1
9198	0	1	0	0	1
10375	1	1	1	1	1
7238	0	1	0	0	1
42177	0	0	0	0	0
42174	0	1	1	0	1
42171	1	1	1	1	1
9745	1	1	1	1	1
12209	1	1	1	1	1
12204	0	0	0	0	0
49752	0	1	0	0	1
12201	0	1	0	0	1
6233	1	0	1	0	1
14746	0	1	1	0	1
32001	1	1	1	1	1
36581	1	1	1	1	1
29359	0	0	1	0	1
9774	1	1	1	1	1
29352	0	0	0	0	0
10516	1	1	1	1	1
29355	1	1	1	0	1
29356	1	1	1	0	1
10515	1	1	1	1	1
18953	1	1	1	1	1
8864	0	0	0	1	1
37361	1	1	1	0	1
24168	0	0	0	0	0
18957	1	1	1	1	1
17576	1	1	1	1	1
24162	0	0	0	0	0
8869	1	1	1	1	1
818	0	0	0	0	0
41377	0	0	0	0	0
7935	1	0	0	0	1
815	1	1	1	1	1
31066	0	1	1	0	1
35263	1	1	1	1	1
14189	0	1	1	0	1
1702	0	0	0	0	0
5263	0	1	0	0	1
1705	1	1	1	1	1
1706	1	1	1	1	1
23186	0	0	0	0	0
14180	0	1	0	0	1
14182	1	1	1	1	1
37182	0	0	0	0	0
37183	0	0	0	0	0
7736	0	0	0	0	0
15854	1	1	0	1	1
15857	0	0	0	0	0
15850	1	1	1	1	1
15853	0	0	0	0	0
15858	0	0	0	0	0
40206	1	1	1	1	1
40204	1	1	1	0	1
35612	1	1	1	0	1
14325	0	1	0	0	1
19814	0	1	1	0	1
33957	0	0	0	0	0
20058	0	0	0	0	0
18372	1	0	1	1	1
11132	0	0	0	0	0
18370	1	1	0	0	1
24578	0	0	0	0	0
24575	1	1	1	1	1
24574	1	1	1	1	1
14329	0	1	0	0	1
14328	1	1	1	1	1
37988	0	0	0	0	0
17982	1	1	1	1	1
28408	1	1	1	1	1
50590	0	1	0	0	1
17987	0	0	0	0	0
17988	1	1	0	0	1
19810	0	1	0	0	1
28407	0	1	0	0	1
3021	1	1	1	1	1
28404	0	0	0	0	0
34983	1	1	1	1	1
15580	0	0	0	0	0
30603	1	1	1	1	1
34986	0	0	0	0	0
30354	1	1	1	1	1
15585	1	1	1	1	1
8736	1	1	1	0	1
30609	0	0	0	0	0
34325	1	1	1	1	1
8735	0	0	0	0	0
32561	1	1	1	1	1
31552	1	1	1	1	1
31008	0	1	0	0	1
35058	0	1	0	0	1
50869	1	1	1	0	1
4196	1	1	1	1	1
4197	1	1	1	1	1
31558	0	1	0	0	1
35053	1	1	1	1	1
31003	0	1	1	0	1
8835	1	1	1	1	1
5675	1	1	1	1	1
18922	1	1	1	1	1
307	0	1	0	0	1
50621	1	1	1	1	1
3081	0	1	0	0	1
33674	1	1	0	0	1
38383	0	1	0	0	1
38382	1	1	1	0	1
34181	0	1	0	0	1
34187	0	0	1	0	1
23248	0	1	0	0	1
8351	0	1	0	0	1
23246	0	0	0	0	0
23712	1	1	1	1	1
34743	1	1	1	1	1
15326	1	1	1	1	1
15327	0	1	0	0	1
30974	1	1	1	1	1
8194	1	1	1	0	1
15321	0	1	1	0	1
48857	0	0	1	0	1
27005	1	1	1	1	1
48852	0	1	0	0	1
48853	1	1	0	1	1
15328	1	1	1	1	1
48851	0	0	0	0	0
39386	1	1	1	1	1
699	0	1	0	0	1
39381	0	0	0	0	0
46450	1	1	1	1	1
39388	0	1	1	0	1
39389	1	1	0	1	1
35295	1	1	1	1	1
32585	0	1	0	0	1
6757	0	0	0	0	0
35584	0	0	0	0	0
35587	1	0	1	0	1
39038	1	1	1	0	1
32966	1	1	0	1	1
9949	1	1	1	1	1
39030	0	0	0	0	0
6245	1	1	1	1	1
39033	0	1	0	0	1
16741	1	1	1	1	1
19244	0	1	1	0	1
32055	1	1	1	0	1
16214	1	1	1	1	1
19240	0	0	0	0	0
16746	1	1	1	0	1
45185	0	1	0	0	1
32059	0	1	1	0	1
32058	0	1	0	0	1
12051	1	1	1	1	1
12052	1	1	1	1	1
238	0	0	0	0	0
12059	1	1	1	1	1
27925	0	1	1	0	1
236	0	0	0	0	0
237	1	1	1	1	1
230	0	0	0	0	0
7443	0	1	0	0	1
33356	0	0	0	0	0
48722	0	0	0	0	0
27926	1	1	1	1	1
43831	1	0	1	0	1
20609	0	0	0	0	0
25716	1	0	0	1	1
43834	0	1	0	0	1
39162	0	1	1	0	1
43839	0	0	0	0	0
21874	1	1	1	1	1
49525	0	0	0	0	0
49524	0	1	0	0	1
45188	0	1	0	0	1
26064	0	0	0	0	0
26062	1	1	1	1	1
45408	1	1	1	0	1
43162	0	0	0	0	0
43161	1	1	1	1	1
43166	0	1	0	0	1
2530	1	1	1	0	1
27571	0	0	0	0	0
46534	1	1	1	1	1
46539	1	1	1	1	1
30773	1	1	1	1	1
38547	1	1	1	0	1
38814	1	1	1	1	1
38817	1	1	1	1	1
17165	1	1	0	1	1
17162	0	1	0	0	1
17163	0	0	0	0	0
38813	0	1	0	0	1
49195	0	1	0	0	1
5072	1	1	1	1	1
22831	0	0	1	0	1
32756	1	1	1	1	1
22834	0	0	0	0	0
22835	1	1	1	1	1
38549	1	1	0	0	1
4186	1	1	1	1	1
40742	1	1	1	0	1
9560	0	0	0	0	0
36778	0	1	0	0	1
36779	1	1	1	1	1
9568	0	1	0	0	1
36775	1	1	1	1	1
36773	1	1	0	1	1
5380	0	1	1	0	1
5381	1	1	1	1	1
5384	0	1	0	0	1
14849	1	1	1	1	1
33728	1	1	0	1	1
39067	1	1	1	1	1
14661	1	1	1	1	1
18560	0	1	0	0	1
18566	0	1	0	0	1
33092	0	1	0	0	1
11831	1	1	1	1	1
48693	0	1	0	0	1
48697	1	1	1	1	1
29814	1	1	1	1	1
13099	1	1	1	1	1
30203	0	0	0	0	0
13095	0	1	1	0	1
13090	0	0	0	0	0
44209	1	1	1	1	1
36112	1	1	1	1	1
36110	0	1	0	0	1
36116	0	0	0	0	0
44202	0	1	0	0	1
36114	1	1	1	1	1
36115	1	1	1	0	1
33548	0	1	1	0	1
33543	0	0	0	0	0
33540	0	0	0	0	0
33541	1	1	1	1	1
33546	0	1	0	0	1
33545	1	1	0	0	1
27829	0	1	1	0	1
12263	1	1	1	1	1
27824	1	1	1	1	1
48075	0	1	1	0	1
9862	1	1	1	0	1
20295	0	1	0	0	1
27820	1	1	1	0	1
48071	0	1	1	1	1
20290	0	0	0	0	0
797	0	0	0	0	0
39637	1	1	1	1	1
29723	0	1	0	0	1
794	1	1	1	1	1
39632	0	0	1	0	1
9382	1	0	1	1	1
29728	1	1	1	1	1
9388	0	0	0	0	0
799	1	1	1	1	1
27	1	1	1	1	1
22137	1	1	1	1	1
40922	0	0	0	0	0
40923	1	1	1	1	1
40926	1	1	1	1	1
40925	1	1	1	1	1
1138	1	1	1	1	1
1130	1	1	1	1	1
1137	1	1	0	1	1
1136	1	1	1	1	1
15138	0	1	0	0	1
45502	1	1	1	0	1
43725	0	1	0	0	1
15136	0	0	0	0	0
31765	0	0	0	0	0
4328	0	1	1	0	1
39550	1	1	1	1	1
7140	1	1	0	1	1
39556	0	0	0	0	0
33894	1	1	1	1	1
33890	1	1	1	1	1
33891	0	1	0	0	1
18740	1	1	1	1	1
26331	0	0	0	0	0
30015	0	1	0	0	1
12876	0	1	0	0	1
8503	1	1	1	1	1
26330	0	0	0	0	0
8057	1	1	1	1	1
8504	1	1	1	1	1
12871	1	1	1	1	1
34517	0	0	0	0	0
8059	1	1	1	1	1
12879	1	1	1	1	1
33562	1	1	1	1	1
25446	1	1	0	0	1
33154	1	1	1	1	1
2882	1	1	0	1	1
31493	0	0	0	0	0
31491	1	1	1	1	1
2886	0	0	0	0	0
31497	0	1	0	0	1
31495	1	1	1	1	1
26661	1	1	1	1	1
50456	0	1	0	1	1
50454	1	1	1	1	1
26665	1	1	1	1	1
26664	1	1	1	1	1
44977	1	1	1	1	1
50322	1	1	1	1	1
47250	0	1	0	0	1
24299	0	1	1	0	1
23016	0	1	0	0	1
24292	1	1	1	0	1
24293	1	1	1	1	1
24290	1	1	1	1	1
24296	0	1	1	0	1
24295	1	1	1	1	1
22633	1	1	1	1	1
22630	0	1	1	1	1
15955	1	1	1	1	1
1284	1	1	1	1	1
22638	0	0	0	0	0
26520	1	1	1	1	1
19883	1	1	1	1	1
26524	0	1	0	0	1
11168	0	1	0	0	1
48460	0	1	0	0	1
42545	0	1	0	0	1
24746	1	1	1	1	1
24748	0	0	0	0	0
47696	1	1	1	1	1
28899	1	1	1	1	1
1923	1	1	1	0	1
28678	0	0	0	0	0
28891	1	1	1	1	1
28892	1	1	1	1	1
28671	0	0	0	0	0
3310	0	1	1	0	1
43314	0	1	0	0	1
31941	0	0	0	0	0
31942	0	1	0	0	1
31943	1	1	1	1	1
31944	1	1	1	1	1
31945	0	0	0	0	0
43312	0	0	0	1	1
14052	1	1	1	1	1
26292	0	0	0	0	0
35648	0	1	0	0	1
3606	1	1	1	1	1
11247	0	0	0	0	0
11240	0	0	0	0	0
19748	0	0	0	0	0
5809	1	1	1	1	1
5808	1	1	1	1	1
14055	1	1	1	1	1
32260	1	1	1	1	1
5802	1	1	1	1	1
16022	1	1	0	0	1
19035	0	0	0	0	0
19032	1	1	1	0	1
16025	1	1	1	1	1
32910	1	1	1	1	1
5804	1	1	1	0	1
